LAT_ZONA,LON_ZONA,cantidad_siniestros,criticidad_total,criticidad_promedio,localidad_predominante,barrio_predominante,via_predominante,clase_predominante,gravedad_predominante,criticidad_2016,criticidad_2017,criticidad_2018,criticidad_2019,anios_activos,tipo_hotspot,prioridad_intervencion,siniestros_solo_danos,siniestros_con_heridos,siniestros_con_muertos,criticidad_fatalidad_alta,rank_base,rank_fatalidad_alta,variacion_ranking_fatalidad,score_volumen,score_criticidad_total,score_severidad_promedio,score_persistencia,score_fatalidad,IPI,rank_IPI,prioridad_IPI
4.592,-74.116,100,228,2.28,ANTONIO NARIÑO,EDUARDO FREY,AVENIDA JORGE GAITAN CORTES,CHOQUE,CON HERIDOS,64.0,58.0,74.0,32.0,4,Hotspot persistente con severidad media-alta,Prioridad 2 - Auditoría de seguridad vial,42,52,6,452,159.0,87.0,72.0,0.9809982486865149,0.9906596614127262,0.7521307647402218,1.0,0.9967308814944542,94.41039112667833,14,Prioridad 1 - Intervención prioritaria
4.586,-74.094,62,146,2.3548387096774195,ANTONIO NARIÑO,CIUDAD BERNA,AVENIDA CARACAS,CHOQUE,CON HERIDOS,12.0,62.0,42.0,30.0,4,Hotspot persistente con severidad media-alta,Prioridad 2 - Auditoría de seguridad vial,24,34,4,294,396.0,246.0,150.0,0.9554874489200234,0.9764448336252189,0.792527729130181,1.0,0.9885872737886748,94.26094570928197,15,Prioridad 1 - Intervención prioritaria
4.619,-74.143,60,144,2.4,KENNEDY,CIUDAD KENNEDY ORIENTAL,AVENIDA PRIMERO DE MAYO,CHOQUE,CON HERIDOS,42.0,52.0,20.0,30.0,4,Hotspot persistente con severidad media-alta,Prioridad 2 - Auditoría de seguridad vial,22,34,4,292,414.0,250.0,164.0,0.953035610040864,0.9754816112084063,0.7953298307063631,1.0,0.9885872737886748,94.24868651488616,16,Prioridad 1 - Intervención prioritaria
4.644,-74.066,72,168,2.3333333333333335,CHAPINERO,CHAPINERO CENTRAL,AVENIDA GILBERTO ALZATE AVENDAÑO,CHOQUE,CON HERIDOS,22.0,48.0,40.0,58.0,4,Hotspot persistente con severidad media-alta,Prioridad 2 - Auditoría de seguridad vial,28,40,4,328,306.0,192.0,114.0,0.9656158785755984,0.982019848219498,0.7728838295388207,1.0,0.9885872737886748,94.18213660245185,17,Prioridad 1 - Intervención prioritaria
4.606,-74.126,56,136,2.4285714285714284,PUENTE ARANDA,SAN EUSEBIO,SIN_NMG,CHOQUE,CON HERIDOS,34.0,30.0,26.0,46.0,4,Hotspot persistente con severidad media-alta,Prioridad 2 - Auditoría de seguridad vial,20,32,4,280,472.0,271.0,201.0,0.9471395213076474,0.9720081727962638,0.7985113835376533,1.0,0.9885872737886748,94.1249270286048,18,Prioridad 1 - Intervención prioritaria
4.577,-74.141,134,290,2.1641791044776117,TUNJUELITO,MUZU,AVENIDA BOYACA,CHOQUE,CON HERIDOS,62.0,88.0,68.0,72.0,4,Hotspot persistente con severidad media-alta,Prioridad 2 - Auditoría de seguridad vial,62,66,6,542,87.0,55.0,32.0,0.9891418563922942,0.9949503794512551,0.7253940455341507,1.0,0.9967308814944542,94.12434325744307,19,Prioridad 1 - Intervención prioritaria
4.586,-74.131,54,134,2.4814814814814814,TUNJUELITO,SAMORE,AVENIDA JORGE GAITAN CORTES,CHOQUE,CON HERIDOS,26.0,54.0,24.0,30.0,4,Hotspot persistente con severidad media-alta,Prioridad 2 - Auditoría de seguridad vial,18,32,4,278,491.0,279.0,212.0,0.9440163455925278,0.9710741389375365,0.8024226503210742,1.0,0.9885872737886748,94.12200817279628,20,Prioridad 1 - Intervención prioritaria
4.573,-74.139,158,334,2.1139240506329116,TUNJUELITO,PARQUE EL TUNAL,AVENIDA MARISCAL SUCRE,CHOQUE,SOLO DANOS,58.0,86.0,90.0,100.0,4,Hotspot severo,Prioridad 1 - Revisión urgente por severidad,78,72,8,638,58.0,33.0,25.0,0.9927320490367776,0.9966725043782837,0.7174547577349679,1.0,0.998861646234676,94.11441914769411,21,Prioridad 1 - Intervención prioritaria
4.574,-74.153,58,138,2.3793103448275863,CIUDAD BOLIVAR,ARBORIZADORA BAJA,AVENIDA CIUDAD DE VILLAVICENCIO,CHOQUE,CON HERIDOS,38.0,28.0,12.0,60.0,4,Hotspot persistente con severidad media-alta,Prioridad 2 - Auditoría de seguridad vial,22,32,4,282,456.0,268.0,188.0,0.9500291885580853,0.9730005837711617,0.7935785172212493,1.0,0.9885872737886748,94.10391126678344,22,Prioridad 1 - Intervención prioritaria
4.603,-74.076,44,116,2.6363636363636362,SANTA FE,VERACRUZ,AVENIDA FERNANDO MAZUERA,ATROPELLO,CON HERIDOS,40.0,18.0,18.0,40.0,4,Hotspot persistente con severidad media-alta,Prioridad 2 - Auditoría de seguridad vial,12,28,4,252,624.0,338.0,286.0,0.9251313485113836,0.9630472854640981,0.8278750729713952,1.0,0.9885872737886748,94.09281961471103,23,Prioridad 1 - Intervención prioritaria
4.577,-74.096,50,122,2.44,ANTONIO NARIÑO,CIUDAD JARDIN SUR,SIN_NMG,CHOQUE,SOLO DANOS,52.0,24.0,10.0,36.0,4,Hotspot persistente con severidad media-alta,Prioridad 2 - Auditoría de seguridad vial,22,20,8,322,575.0,202.0,373.0,0.9377116170461179,0.9660537069468769,0.8005837711617046,1.0,0.998861646234676,94.06421482778751,24,Prioridad 1 - Intervención prioritaria
4.739,-74.099,40,112,2.8,SUBA,COSTA AZUL,AVENIDA CIUDAD DE CALI,CHOQUE,CON HERIDOS,8.0,26.0,40.0,38.0,4,Hotspot persistente con severidad media-alta,Prioridad 2 - Auditoría de seguridad vial,8,28,4,248,659.0,343.0,316.0,0.9147110332749562,0.961004086398132,0.8378283712784589,1.0,0.9885872737886748,94.04261529480443,25,Prioridad 1 - Intervención prioritaria
4.595,-74.086,40,112,2.8,SANTA FE,SAN BERNARDINO,AVENIDA CARACAS,CHOQUE,CON HERIDOS,12.0,22.0,34.0,44.0,4,Hotspot persistente con severidad media-alta,Prioridad 2 - Auditoría de seguridad vial,8,28,4,248,659.0,343.0,316.0,0.9147110332749562,0.961004086398132,0.8378283712784589,1.0,0.9885872737886748,94.04261529480443,26,Prioridad 1 - Intervención prioritaria
4.544,-74.121,120,256,2.1333333333333333,USME,LA PICOTA,AVENIDA CARACAS,CHOQUE,SOLO DANOS,58.0,60.0,56.0,82.0,4,Hotspot persistente con severidad media-alta,Prioridad 2 - Auditoría de seguridad vial,64,44,12,584,122.0,45.0,77.0,0.9868067717454758,0.9928488032691185,0.7190893169877408,1.0,0.9998248686514886,93.97139521307648,27,Prioridad 1 - Intervención prioritaria
4.595,-74.117,56,132,2.357142857142857,PUENTE ARANDA,AUTOPISTA MUZU ORIENTAL,AVENIDA CIUDAD DE QUITO,CHOQUE,CON HERIDOS,60.0,20.0,22.0,30.0,4,Hotspot persistente con severidad media-alta,Prioridad 2 - Auditoría de seguridad vial,22,30,4,272,503.0,300.0,203.0,0.9471395213076474,0.9702276707530648,0.7925861062463514,1.0,0.9885872737886748,93.97081144191478,28,Prioridad 1 - Intervención prioritaria
4.687,-74.095,152,316,2.0789473684210527,ENGATIVA,BONANZA,AVENIDA BOYACA,CHOQUE,SOLO DANOS,90.0,84.0,66.0,76.0,4,Hotspot severo,Prioridad 1 - Revisión urgente por severidad,82,58,12,672,63.0,25.0,38.0,0.9919147694103911,0.9963514302393461,0.7103911266783421,1.0,0.9998248686514886,93.96964389959136,29,Prioridad 1 - Intervención prioritaria
4.607,-74.181,42,110,2.619047619047619,BOSA,JOSE ANTONIO GALAN,AVENIDA BOSA,CHOQUE,CON HERIDOS,26.0,18.0,40.0,26.0,4,Hotspot persistente con severidad media-alta,Prioridad 2 - Auditoría de seguridad vial,12,26,4,242,680.0,369.0,311.0,0.9201984821949796,0.9595738470519556,0.8275539988324577,1.0,0.9885872737886748,93.91827203736135,30,Prioridad 1 - Intervención prioritaria
4.619,-74.14,132,276,2.090909090909091,KENNEDY,CIUDAD KENNEDY,AVENIDA PRIMERO DE MAYO,CHOQUE,SOLO DANOS,104.0,78.0,34.0,60.0,4,Hotspot persistente con severidad media-alta,Prioridad 2 - Auditoría de seguridad vial,72,48,12,612,102.0,38.0,64.0,0.9889083479276124,0.9940455341506129,0.7121132516053706,1.0,0.9998248686514886,93.89784004670169,31,Prioridad 1 - Intervención prioritaria
4.631,-74.167,132,276,2.090909090909091,KENNEDY,DINTALITO,AVENIDA CIUDAD DE CALI,CHOQUE,SOLO DANOS,64.0,62.0,82.0,68.0,4,Hotspot persistente con severidad media-alta,Prioridad 2 - Auditoría de seguridad vial,66,60,6,516,102.0,65.0,37.0,0.9889083479276124,0.9940455341506129,0.7121132516053706,1.0,0.9967308814944542,93.83596030356101,32,Prioridad 1 - Intervención prioritaria
