LAT_ZONA,LON_ZONA,cantidad_siniestros,criticidad_total,criticidad_promedio,localidad_predominante,barrio_predominante,via_predominante,clase_predominante,gravedad_predominante,criticidad_2016,criticidad_2017,criticidad_2018,criticidad_2019,anios_activos,tipo_hotspot,prioridad_intervencion,siniestros_solo_danos,siniestros_con_heridos,siniestros_con_muertos,criticidad_fatalidad_alta,rank_base,rank_fatalidad_alta,variacion_ranking_fatalidad,score_volumen,score_criticidad_total,score_severidad_promedio,score_persistencia,score_fatalidad,IPI,rank_IPI,prioridad_IPI,rank_criticidad_total,rank_volumen,rank_muertes,familia_analitica
4.58,-74.107,22,54,2.4545454545454546,RAFAEL URIBE URIBE,OLAYA,SIN_NMG,CHOQUE,SOLO DANOS,6.0,10.0,14.0,24.0,4,Hotspot persistente con severidad media-alta,Prioridad 2 - Auditoría de seguridad vial,10,8,4,150,2005.0,927.0,1078.0,0.8262113251605371,0.8798015178050205,0.801517805020432,1.0,0.9885872737886748,89.9223584354933,279,Prioridad 3 - Monitoreo y gestión preventiva,2008,2833,180,Hotspot preventivo prioritario
4.659,-74.099,20,36,1.8,TEUSAQUILLO,CAMPO EUCARISTICO,AVENIDA DEL CONGRESO EUCARISTICO,CHOQUE,SOLO DANOS,8.0,20.0,2.0,6.0,4,Hotspot persistente con severidad media-alta,Prioridad 2 - Auditoría de seguridad vial,14,4,2,84,3210.0,2138.0,1072.0,0.8069468768242849,0.8072387624051371,0.5462346760070053,1.0,0.9427904261529481,82.06421482778751,1033,Seguimiento,3221,3157,1020,Seguimiento
4.721,-74.132,20,36,1.8,ENGATIVA,VILLAS DE ALCALA,SIN_NMG,CHOQUE,SOLO DANOS,4.0,0.0,22.0,10.0,3,Hotspot persistente con severidad media-alta,Prioridad 2 - Auditoría de seguridad vial,14,4,2,84,3210.0,2138.0,1072.0,0.8069468768242849,0.8072387624051371,0.5462346760070053,0.75,0.9427904261529481,77.06421482778751,1753,Seguimiento,3241,3190,1208,Seguimiento
4.665,-74.076,20,36,1.8,BARRIOS UNIDOS,DOCE DE OCTUBRE,AVENIDA CIUDAD DE QUITO,CHOQUE,SOLO DANOS,12.0,14.0,2.0,8.0,4,Hotspot persistente con severidad media-alta,Prioridad 2 - Auditoría de seguridad vial,14,4,2,84,3210.0,2138.0,1072.0,0.8069468768242849,0.8072387624051371,0.5462346760070053,1.0,0.9427904261529481,82.06421482778751,1037,Seguimiento,3225,3161,1024,Seguimiento
4.616,-74.091,20,36,1.8,LOS MARTIRES,ESTACION CENTRAL,AVENIDA CIUDAD DE QUITO,CHOQUE,SOLO DANOS,12.0,2.0,8.0,14.0,4,Hotspot persistente con severidad media-alta,Prioridad 2 - Auditoría de seguridad vial,14,4,2,84,3210.0,2138.0,1072.0,0.8069468768242849,0.8072387624051371,0.5462346760070053,1.0,0.9427904261529481,82.06421482778751,1035,Seguimiento,3223,3159,1022,Seguimiento
4.552,-74.096,20,36,1.8,SAN CRISTOBAL,SAN MARTIN SUR,SIN_NMG,CHOQUE,SOLO DANOS,8.0,2.0,8.0,18.0,4,Hotspot persistente con severidad media-alta,Prioridad 2 - Auditoría de seguridad vial,14,4,2,84,3210.0,2138.0,1072.0,0.8069468768242849,0.8072387624051371,0.5462346760070053,1.0,0.9427904261529481,82.06421482778751,1036,Seguimiento,3224,3160,1023,Seguimiento
4.573,-74.101,20,36,1.8,RAFAEL URIBE URIBE,SOSIEGO SUR,SIN_NMG,CHOQUE,SOLO DANOS,4.0,4.0,22.0,6.0,4,Hotspot persistente con severidad media-alta,Prioridad 2 - Auditoría de seguridad vial,14,4,2,84,3210.0,2138.0,1072.0,0.8069468768242849,0.8072387624051371,0.5462346760070053,1.0,0.9427904261529481,82.06421482778751,1034,Seguimiento,3222,3158,1021,Seguimiento
4.694,-74.088,20,36,1.8,ENGATIVA,BONANZA,SIN_NMG,CHOQUE,SOLO DANOS,22.0,4.0,10.0,0.0,3,Hotspot persistente con severidad media-alta,Prioridad 2 - Auditoría de seguridad vial,14,4,2,84,3210.0,2138.0,1072.0,0.8069468768242849,0.8072387624051371,0.5462346760070053,0.75,0.9427904261529481,77.06421482778751,1756,Seguimiento,3244,3193,1211,Seguimiento
4.609,-74.18,20,36,1.8,BOSA,JOSE ANTONIO GALAN,AVENIDA AGOBERTO MEJIA CIFUENTES,CHOQUE,SOLO DANOS,26.0,4.0,0.0,6.0,3,Hotspot persistente con severidad media-alta,Prioridad 2 - Auditoría de seguridad vial,14,4,2,84,3210.0,2138.0,1072.0,0.8069468768242849,0.8072387624051371,0.5462346760070053,0.75,0.9427904261529481,77.06421482778751,1754,Seguimiento,3242,3191,1209,Seguimiento
4.722,-74.052,20,36,1.8,SUBA,SAN JOSE DEL PRADO,SIN_NMG,CHOQUE,SOLO DANOS,20.0,0.0,8.0,8.0,3,Hotspot persistente con severidad media-alta,Prioridad 2 - Auditoría de seguridad vial,14,4,2,84,3210.0,2138.0,1072.0,0.8069468768242849,0.8072387624051371,0.5462346760070053,0.75,0.9427904261529481,77.06421482778751,1755,Seguimiento,3243,3192,1210,Seguimiento
4.65,-74.135,22,34,1.5454545454545454,KENNEDY,VISION DE ORIENTE,SIN_NMG,CHOQUE,SOLO DANOS,16.0,2.0,8.0,8.0,4,Hotspot exploratorio,Prioridad 3 - Seguimiento,18,2,2,78,3397.0,2359.0,1038.0,0.8262113251605371,0.7955341506129597,0.4262405137186223,1.0,0.9427904261529481,79.81552831290134,1286,Seguimiento,3421,2879,1109,Seguimiento
4.745,-74.022,22,34,1.5454545454545454,USAQUEN,SANTA TERESA,AVENIDA ALBERTO LLERAS CAMARGO,CHOQUE,SOLO DANOS,6.0,12.0,6.0,10.0,4,Hotspot exploratorio,Prioridad 3 - Seguimiento,18,2,2,78,3397.0,2359.0,1038.0,0.8262113251605371,0.7955341506129597,0.4262405137186223,1.0,0.9427904261529481,79.81552831290134,1287,Seguimiento,3422,2880,1110,Seguimiento
