lat_grid,lon_grid,rank_IPI_base,IPI_base,cantidad_siniestros_base,siniestros_con_muertos_base,criticidad_total_base,familia_analitica_base,localidad_modal_base,rank_IPI_rec,IPI_rec,cantidad_siniestros_rec,siniestros_con_muertos_rec,criticidad_total_rec,familia_analitica_rec,localidad_modal_rec,en_top50_base,en_top200_base,en_top500_base,en_top200_rec,en_top500_rec,categoria_persistencia,sensible_fatalidad,n_siniestros_zona,condicion_predominante,pct_conductor,pct_motociclista,pct_pasajero,pct_peaton,pct_ciclista,cobertura_actor_pct,hhi_actor,vehiculo_predominante,pct_automovil,pct_motocicleta,pct_camioneta,pct_bus,pct_bicicleta,cobertura_vehiculo_pct,hhi_vehiculo,causa_top1,causa_top1_pct,causa_top2,causa_top2_pct,causa_top3,causa_top3_pct,cobertura_causa_pct,hhi_causa,rank_IPI_rec_top200,IPI_rec_top200,familia_top200,tipo_intervencion
4.73,-74.101,264.0,90.07297139521307,100.0,2.0,196.0,Hotspot preventivo prioritario,SUBA,28.0,93.66400834761868,29.0,2.0,69.0,Hotspot robusto integral,SUBA,False,False,True,True,True,Emergente,True,29.0,CONDUCTOR,64.6,16.9,12.3,1.5,4.6,100.0,4636.7,MOTOCICLETA,21.4,26.8,5.4,10.7,8.9,100.0,1556.1,SEMÁFORO EN ROJO,27.5,DESOBEDECER SEÑALES,19.6,NO UTILIZAR - GIRAR BRUSCAMENTE,15.7,100.0,1695.5,28.0,93.66400834761868,Hotspot robusto integral,CONTROL_SEMAFÓRICO
4.625,-74.152,,,,,,,,29.0,93.65133785496012,7.0,2.0,25.0,Hotspot robusto integral,KENNEDY,False,False,False,True,True,Emergente,True,7.0,CONDUCTOR,37.5,18.8,12.5,25.0,6.2,100.0,2578.1,MOTOCICLETA,10.0,60.0,20.0,0.0,10.0,100.0,4200.0,NO MANTENER DISTANCIA DE SEGURIDAD,66.7,OTRAS,33.3,,,71.4,5555.6,29.0,93.65133785496012,Hotspot robusto integral,VELOCIDAD/DISTANCIA
4.57,-74.095,1066.0,81.92119089316986,58.0,0.0,126.0,Seguimiento,SAN CRISTOBAL,32.0,93.57456957591114,27.0,1.0,69.0,Hotspot robusto integral,SAN CRISTOBAL,False,False,False,True,True,Emergente,True,27.0,CONDUCTOR,62.2,13.5,21.6,2.7,0.0,100.0,4521.5,AUTOMOVIL,46.3,27.8,13.0,5.6,0.0,100.0,3134.4,DESOBEDECER SEÑALES,63.6,OTRA,11.4,OTRAS,9.1,100.0,4359.5,32.0,93.57456957591114,Hotspot robusto integral,CONTROL_SEMAFÓRICO
4.551,-74.137,834.0,85.10332749562173,32.0,4.0,68.0,Seguimiento,CIUDAD BOLIVAR,34.0,93.42401431020348,25.0,1.0,63.0,Hotspot robusto integral,CIUDAD BOLIVAR,False,False,False,True,True,Emergente,True,25.0,CONDUCTOR,69.2,15.4,7.7,3.8,3.8,100.0,5118.3,AUTOMOVIL,33.3,31.0,4.8,7.1,9.5,100.0,2437.6,NO MANTENER DISTANCIA DE SEGURIDAD,31.7,OTRA,17.1,ADELANTAR CERRANDO,9.8,96.0,1659.7,34.0,93.42401431020348,Hotspot robusto integral,VELOCIDAD/DISTANCIA
4.608,-74.141,208.0,90.7227086981903,74.0,8.0,146.0,Hotspot preventivo prioritario,KENNEDY,35.0,93.4173064023254,19.0,2.0,49.0,Hotspot robusto integral,KENNEDY,False,False,True,True,True,Emergente,True,19.0,CONDUCTOR,64.1,23.1,7.7,5.1,0.0,100.0,4727.2,MOTOCICLETA,14.7,50.0,11.8,5.9,0.0,100.0,2993.1,ADELANTAR CERRANDO,27.3,OTRA,12.1,SUPERFICIE LISA,12.1,94.7,1423.3,35.0,93.4173064023254,Hotspot robusto integral,VELOCIDAD/DISTANCIA
4.617,-74.186,13690.0,32.75072971395213,4.0,0.0,4.0,Seguimiento,BOSA,36.0,93.38004024744728,10.0,2.0,30.0,Hotspot robusto integral,BOSA,False,False,False,True,True,Emergente,True,10.0,CONDUCTOR,52.2,21.7,4.3,13.0,8.7,100.0,3459.4,MOTOCICLETA,15.8,36.8,0.0,0.0,15.8,100.0,2410.0,NO MANTENER DISTANCIA DE SEGURIDAD,27.8,ARRANCAR SIN PRECAUCION,16.7,OTRA,16.7,100.0,1913.6,36.0,93.38004024744728,Hotspot robusto integral,VELOCIDAD/DISTANCIA
4.7,-74.132,3968.0,69.75831873905429,16.0,0.0,28.0,Seguimiento,ENGATIVA,36.0,93.38004024744728,10.0,2.0,30.0,Hotspot robusto integral,FONTIBON,False,False,False,True,True,Emergente,True,10.0,CONDUCTOR,66.7,14.8,11.1,3.7,3.7,100.0,4814.8,AUTOMOVIL,34.8,30.4,8.7,4.3,4.3,100.0,2400.8,NO MANTENER DISTANCIA DE SEGURIDAD,60.0,ADELANTAR POR LA DERECHA,12.0,OTRA,12.0,100.0,3984.0,36.0,93.38004024744728,Hotspot robusto integral,VELOCIDAD/DISTANCIA
4.562,-74.144,2959.0,73.2784588441331,12.0,0.0,28.0,Seguimiento,CIUDAD BOLIVAR,38.0,93.3330848923008,7.0,2.0,23.0,Hotspot robusto integral,CIUDAD BOLIVAR,False,False,False,True,True,Emergente,True,7.0,CONDUCTOR,50.0,25.0,25.0,0.0,0.0,100.0,3750.0,MOTOCICLETA,8.3,41.7,16.7,16.7,0.0,100.0,2638.9,DESOBEDECER SEÑALES,55.6,FRENAR BRUSCAMENTE,33.3,TRANSITAR EN CONTRAVIA,11.1,100.0,4321.0,38.0,93.3330848923008,Hotspot robusto integral,CONTROL_SEMAFÓRICO
4.717,-74.093,182.0,90.99182720373614,208.0,6.0,380.0,Hotspot robusto integral,SUBA,40.0,93.3092345531788,70.0,4.0,154.0,Hotspot robusto integral,SUBA,False,True,True,True,True,Persistente,True,70.0,CONDUCTOR,67.8,13.8,5.3,6.6,6.6,100.0,4897.0,MOTOCICLETA,23.1,26.9,13.4,9.0,13.4,100.0,1772.1,NO MANTENER DISTANCIA DE SEGURIDAD,24.4,OTRA,18.5,ADELANTAR CERRANDO,16.8,95.7,1407.4,40.0,93.3092345531788,Hotspot robusto integral,VELOCIDAD/DISTANCIA
4.647,-74.065,13.0,94.43724460011676,222.0,8.0,482.0,Hotspot robusto integral,CHAPINERO,41.0,93.2771856599836,27.0,1.0,67.0,Hotspot robusto integral,CHAPINERO,True,True,True,True,True,Persistente,True,27.0,CONDUCTOR,67.9,17.9,0.0,5.4,8.9,100.0,5031.9,AUTOMOVIL,35.8,26.4,7.5,3.8,15.1,100.0,2353.2,SEMÁFORO EN ROJO,54.1,DESOBEDECER SEÑALES,9.8,OTRA,8.2,100.0,3216.9,41.0,93.2771856599836,Hotspot robusto integral,CONTROL_SEMAFÓRICO
4.606,-74.119,1445.0,78.7098657326328,30.0,0.0,62.0,Seguimiento,PUENTE ARANDA,42.0,93.16836848773944,15.0,2.0,43.0,Hotspot robusto integral,PUENTE ARANDA,False,False,False,True,True,Emergente,True,15.0,CONDUCTOR,57.5,12.5,20.0,5.0,5.0,100.0,3912.5,MOTOCICLETA,14.3,28.6,17.9,0.0,10.7,100.0,1632.7,TRANSITAR ENTRE VEHICULOS,20.0,ADELANTAR CERRANDO,20.0,NO MANTENER DISTANCIA DE SEGURIDAD,20.0,93.3,1600.0,42.0,93.16836848773944,Hotspot robusto integral,MANIOBRA_PELIGROSA
4.676,-74.122,691.0,86.29655575014594,42.0,2.0,74.0,Seguimiento,FONTIBON,47.0,92.99545352910486,6.0,3.0,24.0,Hotspot robusto integral,FONTIBON,False,False,False,True,True,Emergente,True,6.0,CONDUCTOR,68.8,12.5,6.2,6.2,6.2,100.0,5000.0,AUTOMOVIL,50.0,21.4,0.0,14.3,14.3,100.0,3367.3,ADELANTAR CERRANDO,37.5,OTRA,37.5,NO MANTENER DISTANCIA DE SEGURIDAD,25.0,83.3,3437.5,47.0,92.99545352910486,Hotspot robusto integral,VELOCIDAD/DISTANCIA
4.544,-74.121,27.0,93.97139521307648,120.0,12.0,256.0,Hotspot robusto integral,USME,48.0,92.94700752776328,37.0,2.0,83.0,Hotspot robusto integral,USME,True,True,True,True,True,Persistente,True,37.0,CONDUCTOR,65.6,16.1,16.1,0.0,2.2,100.0,4827.1,MOTOCICLETA,24.7,31.2,7.8,24.7,2.6,100.0,2298.9,ADELANTAR CERRANDO,25.0,NO MANTENER DISTANCIA DE SEGURIDAD,23.3,OTRA,21.7,100.0,1750.0,48.0,92.94700752776328,Hotspot robusto integral,VELOCIDAD/DISTANCIA
4.638,-74.172,206.0,90.76123759486283,50.0,2.0,102.0,Hotspot preventivo prioritario,KENNEDY,49.0,92.90377878810465,24.0,1.0,58.0,Hotspot robusto integral,KENNEDY,False,False,True,True,True,Emergente,True,24.0,CONDUCTOR,55.2,8.6,15.5,10.3,10.3,100.0,3573.1,AUTOMOVIL,32.5,20.0,5.0,5.0,20.0,91.7,2087.5,SEMÁFORO EN ROJO,18.2,ADELANTAR CERRANDO,13.6,OTRA,13.6,100.0,1095.0,49.0,92.90377878810465,Hotspot robusto integral,CONTROL_SEMAFÓRICO
4.553,-74.139,297.0,89.7221249270286,22.0,2.0,58.0,Hotspot preventivo prioritario,CIUDAD BOLIVAR,50.0,92.84489826339716,10.0,1.0,30.0,Hotspot robusto integral,CIUDAD BOLIVAR,False,False,True,True,True,Emergente,True,10.0,CONDUCTOR,56.5,21.7,17.4,4.3,0.0,100.0,3988.7,AUTOMOVIL,44.4,33.3,22.2,0.0,0.0,100.0,3580.2,DESOBEDECER SEÑALES,47.1,EMBRIAGUEZ APARENTE,17.6,OTRA,17.6,100.0,2941.2,50.0,92.84489826339716,Hotspot robusto integral,CONTROL_SEMAFÓRICO
4.579,-74.143,481.0,88.13018096906013,48.0,2.0,92.0,Hotspot preventivo prioritario,TUNJUELITO,51.0,92.7904896772751,19.0,2.0,45.0,Hotspot robusto integral,TUNJUELITO,False,False,True,True,True,Emergente,True,19.0,CONDUCTOR,71.4,9.5,9.5,2.4,7.1,100.0,5340.1,AUTOMOVIL,37.8,21.6,5.4,8.1,10.8,100.0,2198.7,ADELANTAR CERRANDO,25.8,DESOBEDECER SEÑALES,19.4,HUECOS,12.9,100.0,1550.5,51.0,92.7904896772751,Hotspot robusto integral,VELOCIDAD/DISTANCIA
4.628,-74.113,3396.0,72.0507880910683,28.0,0.0,44.0,Seguimiento,PUENTE ARANDA,53.0,92.72266527539688,9.0,2.0,27.0,Hotspot robusto integral,PUENTE ARANDA,False,False,False,True,True,Emergente,True,9.0,CONDUCTOR,65.0,15.0,10.0,5.0,5.0,100.0,4600.0,AUTOMOVIL,35.3,29.4,23.5,0.0,11.8,100.0,2802.8,ADELANTAR CERRANDO,42.9,NO MANTENER DISTANCIA DE SEGURIDAD,21.4,OTRA,21.4,88.9,2959.2,53.0,92.72266527539688,Hotspot robusto integral,VELOCIDAD/DISTANCIA
4.588,-74.145,353.0,89.1745475773497,72.0,2.0,136.0,Hotspot preventivo prioritario,TUNJUELITO,54.0,92.71893865990909,23.0,5.0,53.0,Hotspot robusto integral,TUNJUELITO,False,False,True,True,True,Emergente,True,23.0,CONDUCTOR,66.1,14.3,12.5,0.0,7.1,100.0,4776.8,AUTOMOVIL,41.3,19.6,4.3,13.0,10.9,100.0,2457.5,NO MANTENER DISTANCIA DE SEGURIDAD,40.5,OTRA,24.3,ADELANTAR CERRANDO,13.5,100.0,2607.7,54.0,92.71893865990909,Hotspot robusto integral,VELOCIDAD/DISTANCIA
4.702,-74.108,152.0,91.40980735551663,44.0,2.0,100.0,Hotspot preventivo prioritario,ENGATIVA,55.0,92.712230752031,14.0,2.0,38.0,Hotspot robusto integral,ENGATIVA,False,True,True,True,True,Persistente,True,14.0,CONDUCTOR,67.7,9.7,9.7,9.7,3.2,100.0,4880.3,AUTOMOVIL,52.0,16.0,8.0,4.0,8.0,100.0,3184.0,DESOBEDECER SEÑALES,78.9,OTRA,15.8,CRUZAR SIN OBSERVAR,5.3,100.0,6509.7,55.0,92.712230752031,Hotspot robusto integral,CONTROL_SEMAFÓRICO
4.597,-74.175,471.0,88.1652072387624,84.0,2.0,144.0,Hotspot preventivo prioritario,BOSA,58.0,92.64366102705522,53.0,4.0,107.0,Hotspot robusto integral,BOSA,False,False,True,True,True,Emergente,True,53.0,CONDUCTOR,75.0,12.5,5.8,0.0,6.7,100.0,5859.7,AUTOMOVIL,27.9,20.7,9.0,9.9,9.0,100.0,1598.1,NO MANTENER DISTANCIA DE SEGURIDAD,30.2,OTRA,17.4,ADELANTAR CERRANDO,16.3,100.0,1679.3,58.0,92.64366102705522,Hotspot robusto integral,VELOCIDAD/DISTANCIA
