lat_grid,lon_grid,cantidad_siniestros,criticidad_total,severidad_promedio,siniestros_con_muertos,localidad_modal,anios_activos,score_volumen,score_criticidad_total,score_severidad_promedio,score_fatalidad,score_persistencia,IPI,rank_IPI,familia_analitica
4.647,-74.065,27,67,2.4814814814814814,1,CHAPINERO,2,0.9782738317060445,0.9892300812402176,0.7359692926883804,0.9603860773645375,1.0,93.2771856599836,41,Hotspot robusto integral
4.606,-74.119,15,43,2.8666666666666667,2,PUENTE ARANDA,2,0.9300514272937318,0.9711559961243199,0.7700678244018783,0.9871431765670418,1.0,93.16836848773944,42,Hotspot robusto integral
4.614,-74.171,22,52,2.3636363636363638,2,KENNEDY,2,0.9660877990608929,0.9805470671536111,0.7236714615785943,0.9871431765670418,1.0,93.1489900872028,43,Hotspot robusto integral
4.638,-74.063,16,42,2.625,2,CHAPINERO,2,0.9379518521278974,0.9694044868450473,0.7594842364164865,0.9871431765670418,1.0,93.07967503912946,44,Hotspot robusto integral
4.568,-74.094,17,43,2.5294117647058822,2,SAN CRISTOBAL,2,0.9444734292315718,0.9711559961243199,0.7489006484310948,0.9871431765670418,1.0,93.03346500708058,45,Hotspot robusto integral
4.581,-74.102,34,78,2.2941176470588234,2,ANTONIO NARIÑO,2,0.9860624580755758,0.9925840351792502,0.684914660505329,0.9871431765670418,1.0,93.01408660654393,46,Hotspot robusto integral
4.676,-74.122,6,24,4.0,3,FONTIBON,2,0.7527017962286652,0.9071327420436759,0.9918759782365656,0.9980621599463367,1.0,92.99545352910486,47,Hotspot robusto integral
4.544,-74.121,37,83,2.2432432432432434,2,USME,2,0.9881493627487515,0.9936647536707163,0.6783930834016546,0.9871431765670418,1.0,92.94700752776329,48,Hotspot robusto integral
4.638,-74.172,24,58,2.4166666666666665,1,KENNEDY,2,0.9722739807706641,0.9843854811060595,0.728143400163971,0.9603860773645375,1.0,92.90377878810465,49,Hotspot robusto integral
4.553,-74.139,10,30,3.0,1,CIUDAD BOLIVAR,2,0.866326302452113,0.9378027875083849,0.8777297458448238,0.9603860773645375,1.0,92.84489826339717,50,Hotspot robusto integral
4.579,-74.143,19,45,2.3684210526315788,2,TUNJUELITO,2,0.9542744279645227,0.9741745546694492,0.7239323246627413,0.9871431765670418,1.0,92.7904896772751,51,Hotspot robusto integral
4.628,-74.114,17,45,2.6470588235294117,1,PUENTE ARANDA,2,0.9444734292315718,0.9741745546694492,0.7603040918238057,0.9603860773645375,1.0,92.78676306178728,52,Hotspot robusto integral
4.628,-74.113,9,27,3.0,2,PUENTE ARANDA,2,0.8468733696057241,0.9243869717522546,0.8777297458448238,0.9871431765670418,1.0,92.72266527539689,53,Hotspot robusto integral
4.588,-74.145,23,53,2.3043478260869565,5,TUNJUELITO,2,0.969329954535291,0.9814041887158083,0.6853991205187449,0.9998136692256093,1.0,92.71893865990907,54,Hotspot robusto integral
4.702,-74.108,14,38,2.7142857142857144,2,ENGATIVA,2,0.921033017813222,0.9621003204889319,0.7653350227323544,0.9871431765670418,1.0,92.712230752031,55,Hotspot robusto integral
